Date,Price,Open,High,Low,Volume,Chg%
"Feb 04, 2021",14895.65,14789.05,14913.7,14714.75,884.69B,0.71%
"Feb 03, 2021",14789.95,14754.9,14868.85,14574.15,869.48B,0.97%
"Feb 02, 2021",14647.85,14481.1,14731.7,14469.15,914.97B,2.57%
"Feb 01, 2021",14281.2,13758.6,14336.35,13661.75,870.53B,4.74%
"Jan 29, 2021",13634.6,13946.6,13966.85,13596.75,753.21B,-1.32%
"Jan 28, 2021",13817.55,13810.4,13898.25,13713.25,637.87B,-1.07%
"Jan 27, 2021",13967.5,14237.95,14237.95,13929.3,660.71B,-1.91%
"Jan 25, 2021",14238.9,14477.8,14491.1,14218.6,618.63B,-0.93%
"Jan 22, 2021",14371.9,14583.4,14619.9,14357.75,776.75B,-1.50%
"Jan 21, 2021",14590.35,14730.95,14753.55,14517.25,704.65B,-0.37%
"Jan 20, 2021",14644.7,14538.3,14666.45,14517.55,623.07B,0.85%
"Jan 19, 2021",14521.15,14371.65,14546.05,14350.85,546.11B,1.68%
"Jan 18, 2021",14281.3,14453.3,14459.15,14222.8,762.04B,-1.06%
"Jan 15, 2021",14433.7,14594.35,14617.45,14357.85,789.56B,-1.11%
"Jan 14, 2021",14595.6,14550.05,14617.8,14471.5,620.19B,0.21%
"Jan 13, 2021",14564.85,14639.8,14653.35,14435.7,873.96B,0.01%
"Jan 12, 2021",14563.45,14473.8,14590.65,14432.85,929.57B,0.54%
"Jan 11, 2021",14484.75,14474.05,14498.2,14383.1,672.88B,0.96%
"Jan 08, 2021",14347.25,14258.4,14367.3,14221.65,613.47B,1.48%
"Jan 07, 2021",14137.35,14253.75,14256.25,14123.1,559.17B,-0.06%
"Jan 06, 2021",14146.25,14240.95,14244.15,14039.9,632.32B,-0.38%
"Jan 05, 2021",14199.5,14075.15,14215.6,14048.15,492.48B,0.47%
"Jan 04, 2021",14132.9,14104.35,14147.95,13953.75,495.00B,0.82%
"Jan 01, 2021",14018.5,13996.1,14049.85,13991.35,258.09B,0.26%
"Dec 31, 2020",13981.75,13970,14024.85,13936.45,452.41B,0.00%
"Dec 30, 2020",13981.95,13980.9,13997,13864.95,380.68B,0.35%
"Dec 29, 2020",13932.6,13910.35,13967.6,13859.9,439.59B,0.43%
"Dec 28, 2020",13873.2,13815.15,13885.3,13811.55,403.63B,0.90%
"Dec 24, 2020",13749.25,13672.15,13771.75,13626.9,471.37B,1.09%
"Dec 23, 2020",13601.1,13473.5,13619.45,13432.2,458.65B,1.00%
"Dec 22, 2020",13466.3,13373.65,13492.05,13192.9,696.20B,1.03%
"Dec 21, 2020",13328.4,13741.9,13777.5,13131.45,687.25B,-3.14%
"Dec 18, 2020",13760.55,13764.4,13772.85,13658.6,519.39B,0.14%
"Dec 17, 2020",13740.7,13713.55,13773.25,13673.55,416.01B,0.42%
"Dec 16, 2020",13682.7,13663.1,13692.35,13606.45,462.15B,0.85%
"Dec 15, 2020",13567.85,13547.2,13589.65,13447.05,497.60B,0.07%
"Dec 14, 2020",13558.15,13571.45,13597.5,13472.45,558.39B,0.33%
"Dec 11, 2020",13513.85,13512.3,13579.35,13402.85,787.71B,0.26%
"Dec 10, 2020",13478.3,13488.5,13503.55,13399.3,553.40B,-0.38%
"Dec 09, 2020",13529.1,13458.1,13548.9,13449.6,502.60B,1.02%
"Dec 08, 2020",13392.95,13393.85,13435.45,13311.05,543.16B,0.28%
"Dec 07, 2020",13355.75,13264.85,13366.65,13241.95,591.72B,0.73%
"Dec 04, 2020",13258.55,13177.4,13280.05,13152.85,640.51B,0.95%
"Dec 03, 2020",13133.9,13215.3,13216.6,13107.9,713.69B,0.15%
"Dec 02, 2020",13113.75,13121.4,13128.5,12983.55,717.71B,0.04%
"Dec 01, 2020",13109.05,13062.2,13128.4,12962.8,583.63B,1.08%
"Nov 27, 2020",12968.95,13012.05,13035.3,12914.3,"1,162.36B",-0.14%
"Nov 26, 2020",12987,12906.45,13018,12790.4,549.80B,1.00%
"Nov 25, 2020",12858.4,13130,13145.85,12833.65,679.01B,-1.51%
"Nov 24, 2020",13055.15,13002.6,13079.1,12978,571.86B,1.00%
